CPU-etcd-minikube,CPU-kalic,Memory_Cache-etcd-minikube,Memory_Cache-kalic,Memory-etcd-minikube,Memory-kalic,write-etcd-minikube,write-kalic
0.198,296.69,25.7,2304.0,72.6,208,7.93,6.02
0.197,296.68,25.8,2437.12,72.6,216,7.92,6.06
0.198,296.66,25.8,2549.76,72.6,213,7.94,6.02
0.198,296.63,25.8,1628.16,72.8,186,7.97,6.09
0.19,296.58,25.8,1740.8,72.6,188,7.65,6.01
0.197,285.99,25.9,1853.44,72.6,197,7.96,5.83
0.199,296.6,25.9,1976.32,72.6,192,7.88,6.05
0.198,296.63,25.9,2078.72,72.6,203,7.92,6.05
0.198,296.66,26.0,2170.88,72.6,206,7.97,6.04
0.193,282.78,26.0,2324.48,72.6,207,7.74,5.76
0.2,296.7,26.0,2416.64,72.6,213,8.12,6.02
0.198,296.79,26.0,2549.76,72.6,210,8.1,5.99
0.186,273.95,26.0,1607.68,72.6,188,7.61,5.52
0.198,296.81,26.1,1761.28,72.6,203,8.06,6.05
0.197,296.89,26.1,1863.68,72.6,194,8.13,6.03
0.197,296.93,26.1,1976.32,72.6,200,8.01,6.04
0.196,296.92,26.2,2109.44,72.6,202,7.96,6.02
0.197,296.95,26.2,2232.32,72.6,202,7.95,5.96
0.197,296.93,26.2,2324.48,72.6,209,8.0,5.99
0.198,296.95,26.2,2447.36,72.6,210,8.03,5.97
0.191,296.95,26.3,2560.0,72.6,214,7.66,6.0
0.2,296.94,26.3,1617.92,72.6,194,7.92,6.04
0.191,296.91,26.3,1771.52,72.6,188,7.57,6.15
0.2,285.32,26.3,1904.64,72.6,199,7.92,6.01
0.2,296.78,26.4,1976.32,72.6,193,7.96,6.26
0.192,296.66,26.4,2078.72,72.6,204,7.69,6.33
0.201,296.64,26.4,2242.56,72.6,203,8.07,6.34
0.193,296.55,26.4,2304.0,72.6,209,7.63,6.35
0.191,296.53,26.5,2467.84,72.6,212,7.67,6.32
0.2,296.51,26.5,2539.52,72.6,211,8.0,6.33
0.2,296.47,26.5,1669.12,72.6,186,8.1,6.41
0.2,296.53,26.6,1792.0,72.6,195,8.12,6.45
0.201,285.85,26.6,1853.44,72.6,195,8.13,6.13
0.201,296.53,26.6,1966.08,72.6,197,8.11,6.3
0.192,296.53,26.6,2099.2,72.6,209,7.72,6.31
0.202,282.89,26.6,2170.88,72.6,203,8.06,6.04
0.202,296.6,26.7,2314.24,72.6,209,8.03,6.33
0.202,296.58,26.7,2437.12,72.6,213,8.0,6.33
0.195,286.62,26.7,2549.76,72.6,213,7.76,6.15
0.202,296.62,26.8,1669.12,72.6,186,8.02,6.5
0.194,296.6,26.8,1771.52,72.6,188,7.73,6.44
0.201,296.63,26.8,1904.64,72.6,199,8.03,6.38
0.2,296.62,26.8,1996.8,72.6,204,8.0,6.38
0.2,296.63,26.9,2099.2,72.6,216,8.03,6.36
0.2,296.72,26.9,2222.08,72.6,201,8.03,6.33
0.199,296.67,26.9,2334.72,72.6,209,7.98,6.32
0.198,296.67,26.9,2447.36,72.6,212,7.96,6.29
0.198,296.64,27.0,1576.96,72.6,187,8.0,6.28
0.199,282.69,27.0,1628.16,72.6,193,7.98,6.02
0.191,296.59,27.0,1781.76,72.6,189,7.73,6.32
0.2,296.67,27.1,1904.64,72.6,192,8.08,6.34
0.2,284.79,27.1,2027.52,72.6,197,8.04,6.1
0.201,296.64,27.1,2150.4,72.6,201,7.97,6.38
0.192,285.58,27.1,2201.6,72.6,207,7.62,6.18
0.201,296.57,27.1,2344.96,72.6,216,7.96,6.51
0.202,279.09,27.2,2396.16,72.6,209,7.97,6.18
0.202,280.95,27.2,2519.04,72.6,214,7.84,6.32
0.201,296.51,27.2,1689.6,72.6,190,7.89,6.74
0.202,296.5,27.3,1822.72,72.6,182,7.9,6.76
0.199,296.48,27.3,1945.6,72.6,196,7.94,6.74
0.199,296.5,27.3,2048.0,72.6,208,7.94,6.74
0.199,296.55,27.3,2140.16,72.6,206,8.05,6.75
0.189,296.61,27.4,2273.28,72.6,214,7.67,6.78
0.198,286.17,27.4,2324.48,72.6,208,8.04,6.52
0.191,296.68,27.4,2437.12,72.6,208,7.84,6.76
0.197,296.71,27.4,1576.96,72.6,186,8.17,6.72
0.197,296.75,27.5,1720.32,72.6,188,8.04,6.76
0.198,296.82,27.5,1822.72,72.6,193,8.03,6.6
0.196,296.88,27.5,1935.36,72.6,197,7.97,6.48
0.197,296.87,27.5,2058.24,72.7,196,7.91,6.38
0.197,296.91,27.6,2150.4,72.6,215,7.97,6.26
0.196,296.88,27.6,2252.8,72.6,207,7.99,6.23
0.196,296.97,27.6,2365.44,72.7,206,8.02,6.18
0.196,296.95,27.7,2457.6,72.7,208,7.97,6.09
0.196,296.98,27.7,2570.24,72.7,224,7.95,6.1
0.195,296.99,27.7,1730.56,72.7,189,7.98,6.11
0.195,296.98,27.7,1792.0,72.7,191,7.99,6.1
0.196,296.92,27.7,1955.84,72.7,198,8.07,6.1
0.196,296.94,27.8,2068.48,72.7,197,8.15,6.04
0.196,296.94,27.8,2170.88,72.7,203,8.12,6.06
0.196,272.46,27.8,2232.32,72.7,203,8.07,5.61
0.188,296.94,27.9,2344.96,72.7,210,7.69,6.1
0.197,296.98,27.9,2488.32,72.7,213,8.09,6.12
0.196,297.05,27.9,1597.44,72.7,191,8.03,6.13
0.189,296.96,27.9,1730.56,72.7,193,7.7,6.15
0.198,297.01,28.0,1792.0,72.7,193,8.03,6.09
0.188,297.03,28.0,1925.12,72.7,199,7.57,6.06
0.197,297.03,28.0,2078.72,72.7,201,7.98,6.07
0.198,297.0,28.0,2181.12,72.7,202,7.96,6.07
0.197,296.95,28.1,2293.76,72.7,204,7.99,6.02
0.19,296.94,28.1,2416.64,72.7,215,7.73,6.02
0.189,296.91,28.1,2488.32,72.7,213,7.65,5.97
0.197,282.64,28.1,1617.92,72.7,179,7.94,5.73
0.197,296.86,28.2,1740.8,72.7,190,7.94,6.03
0.197,296.96,28.2,1812.48,72.7,195,7.97,5.99
0.195,296.99,28.2,1966.08,72.7,196,8.03,6.01
0.195,297.01,28.3,2068.48,72.7,189,7.99,6.03
0.195,297.0,28.3,2181.12,72.7,202,7.95,6.07
0.195,297.09,28.3,2293.76,72.7,207,7.91,6.11
0.196,297.12,28.3,2365.44,72.7,209,7.89,6.17
0.195,287.06,28.4,2488.32,72.7,250,7.94,5.98
0.188,297.06,28.4,1597.44,72.7,196,7.77,6.19
0.196,297.02,28.4,1751.04,72.7,190,8.04,6.16
0.195,296.99,28.4,1822.72,72.7,201,8.05,6.17
0.196,296.96,28.5,1945.6,72.7,196,8.02,6.12
0.196,296.9,28.5,2068.48,72.7,197,7.98,6.12
0.196,296.87,28.5,2160.64,72.7,209,8.01,6.12
0.188,296.86,28.5,2314.24,72.7,209,7.68,6.06
0.197,296.78,28.6,2426.88,72.7,208,8.02,6.05
0.198,296.77,28.6,2508.8,72.7,218,8.05,6.04
0.199,296.76,28.6,1638.4,72.7,186,8.01,6.11
0.199,286.27,28.6,1699.84,72.7,191,7.96,5.86
